暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-32(2),628-32,R2,b,735.76,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,9.94,440.07,440.25,31.56,right,幾何二分法,13,✅,0.4016,9.92,
R2-抵費地,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1783.64,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-34(2),628-34,R3,b,429.35,4206.8,93.41,43.64,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,5.72,250.31,250.24,5.72,left,幾何二分法,18,✅,0.4172,5.7,
628-46(1),628-46,R3,b,124.85,4206.8,93.41,43.64,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,1.66,72.72,72.77,7.38,left,幾何二分法,17,✅,0.4171,1.65,⚠️移出/第1調配順位
628-48(1),628-48,R3,b,627.61,4206.8,93.41,43.64,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,8.34,365.84,365.83,15.72,left,幾何二分法,17,✅,0.4171,8.3,
628-32(3),628-32,R3,b,722.88,4206.8,93.41,43.64,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,9.58,421.26,421.41,25.3,left,幾何二分法,17,✅,0.417,9.54,
628-45(2),628-45,R3,b,362.38,4206.8,93.41,43.64,1.9407,2.0,1.0,是,是,右側,44.9,4.46,40.66,4.48,195.22,195.25,4.48,right,幾何二分法,18,✅,0.4612,4.46,
628-42(2),628-42,R3,b,153.46,4206.8,93.41,43.64,1.9407,2.0,1.0,否,否,—,44.9,6.35,11.35,1.9,85.09,85.07,6.38,right,幾何二分法,17,✅,0.4457,1.89,⚠️移出/第1調配順位
628-29(1),628-29,R3,b,228.0,4206.8,93.41,43.64,1.9407,2.0,1.0,否,否,—,44.9,9.18,15.15,2.84,127.11,127.06,9.22,right,幾何二分法,16,✅,0.4427,2.83,⚠️移出/第1調配順位
628-30(3),628-30,R3,b,783.29,4206.8,93.41,43.64,1.9407,2.0,1.0,否,否,—,44.9,19.08,32.84,9.94,444.12,444.03,19.16,right,幾何二分法,10,✅,0.4331,9.9,
628-31(3),628-31,R3,b,652.89,4206.8,93.41,43.64,1.9407,2.0,1.0,否,否,—,44.9,27.59,0.0,8.54,380.61,380.81,27.7,right,幾何二分法,17,✅,0.4167,8.5,
R3-抵費地-1,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1786.28,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R3-抵費地-2,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,78.24,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
