暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-34(1),628-34,R2,b,1005.65,4368.6,100.03,43.9,1.9024,2.0,0.0,否,否,—,0.0,0.0,0.0,13.43,592.06,592.05,13.43,right,幾何二分法,17,✅,0.4113,13.4,
628-32(2),628-32,R2,b,862.56,4368.6,100.03,43.9,1.9024,2.0,0.0,否,否,—,0.0,0.0,0.0,11.49,507.87,507.87,24.92,right,幾何二分法,14,✅,0.4112,11.46,
74·G031@R2,74·G031,R2,74avg·R2,265.81,4368.6,100.03,43.9,1.9024,2.0,0.0,否,否,—,0.0,0.0,0.0,3.54,156.53,156.52,28.46,right,幾何二分法,16,✅,0.4112,3.53,
74·G016@R2,74·G016,R2,74avg·R2,1110.73,4368.6,100.03,43.9,1.9024,2.0,0.0,否,否,—,0.0,0.0,0.0,14.74,654.08,654.08,43.2,right,幾何二分法,16,✅,0.4111,14.7,
R2-抵費地-1,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,435.32,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R2-抵費地-2,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,233.74,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-34(2),628-34,R3,b,442.5,4206.8,93.41,43.64,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,6.1,267.04,267.05,6.1,left,幾何二分法,17,✅,0.3965,6.07,
628-48(1),628-48,R3,b,737.0,4206.8,93.41,43.64,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,10.14,444.81,444.82,16.24,left,幾何二分法,17,✅,0.3964,10.1,
628-32(3),628-32,R3,b,858.44,4206.8,93.41,43.64,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,11.78,518.18,518.18,28.02,left,幾何二分法,15,✅,0.3964,11.73,
74·G020@R3,74·G020,R3,74avg·R3,258.55,4206.8,93.41,43.64,1.7969,2.0,0.0,否,否,—,0.0,0.0,0.0,3.55,156.3,156.29,31.57,left,幾何二分法,16,✅,0.3955,3.53,
628-31(3),628-31,R3,b,792.09,4206.8,93.41,43.64,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,10.83,478.21,478.2,42.4,left,幾何二分法,17,✅,0.3963,10.78,
628-42(2),628-42,R3,b,770.0,4206.8,93.41,43.64,1.8023,2.0,1.0,否,否,—,44.9,17.05,41.55,10.04,448.79,448.8,17.12,right,幾何二分法,15,✅,0.4171,10.0,
74·G004@R3,74·G004,R3,74avg·R3,263.19,4206.8,93.41,43.64,1.7969,2.0,1.0,否,否,—,44.9,20.58,2.47,3.55,158.21,158.2,20.67,right,幾何二分法,16,✅,0.3989,3.53,
628-45(2),628-45,R3,b,1111.56,4206.8,93.41,43.64,1.8023,2.0,1.0,否,否,—,44.9,35.6,0.0,15.08,671.28,671.28,35.75,right,幾何二分法,14,✅,0.3961,15.02,
628-30(3),628-30,R3,b,834.95,4206.8,93.41,43.64,1.8023,2.0,1.0,否,否,—,44.9,46.92,0.0,11.37,504.15,504.16,47.12,right,幾何二分法,14,✅,0.3962,11.32,
R3-抵費地-1,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,389.8,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R3-抵費地-2,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,169.59,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
