暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
R1-抵費地-2,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,5.3,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,
628(1),628,R4,a,3146.51,3207.87,98.89,32.59,1.7364,0.0,1.0,是,是,左側,33.27,60.71,100.0,60.78,1979.75,1979.75,60.78,left,幾何二分法,18,✅,0.3708,60.72,
628-1(1),628-1,R4,a,949.59,3207.87,98.89,32.59,1.7364,0.0,1.0,是,是,右側,33.08,18.4,100.0,18.42,576.54,576.53,18.42,right,幾何二分法,16,✅,0.3929,18.4,
74·G014@R4,74·G014,R4,74avg·R4,193.8,3207.87,98.89,32.59,1.7364,0.0,1.0,否,否,—,33.08,22.14,0.0,3.74,123.81,123.8,22.16,right,幾何二分法,13,✅,0.3612,3.74,
74·G033@R4,74·G033,R4,74avg·R4,209.1,3207.87,98.89,32.59,1.7364,0.0,1.0,否,否,—,33.08,26.17,0.0,4.03,133.58,133.57,26.19,right,幾何二分法,12,✅,0.3612,4.03,
R4-抵費地,—,R4,—,0.0,3207.87,98.89,32.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,394.1,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-4(1),628-4,R6,b,1295.0,3976.3,85.85,44.59,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,16.49,776.73,776.72,16.49,left,幾何二分法,17,✅,0.4002,16.44,
628-21(1),628-21,R6,b,723.48,3976.3,85.85,44.59,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,9.33,433.71,433.71,25.82,left,幾何二分法,15,✅,0.4005,9.3,
628-20(1),628-20,R6,b,612.3,3976.3,85.85,44.59,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,7.97,366.93,366.93,33.79,left,幾何二分法,17,✅,0.4007,7.94,
628-18(1),628-18,R6,b,551.09,3976.3,85.85,44.59,1.8386,2.0,1.0,是,是,右側,43.38,10.39,72.91,10.43,295.6,295.59,10.43,right,幾何二分法,15,✅,0.4636,10.4,
628-38(1),628-38,R6,b,578.0,3976.3,85.85,44.59,1.8386,2.0,1.0,否,否,—,43.38,18.03,27.11,7.66,335.44,335.44,18.09,right,幾何二分法,16,✅,0.4197,7.64,
628-7(1),628-7,R6,b,2496.31,3976.3,85.85,44.59,1.8386,2.0,1.0,否,否,—,43.38,51.28,0.0,33.36,1494.38,1494.39,51.45,right,幾何二分法,16,✅,0.4014,33.25,
R6-抵費地-1,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,187.69,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R6-抵費地-2,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,85.66,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-18(2),628-18,R5,b,477.91,4150.21,92.8,45.04,1.9407,2.0,1.0,是,是,左側,43.53,7.56,58.73,7.59,253.09,253.08,7.59,left,幾何二分法,17,✅,0.4704,7.56,
628-7(2),628-7,R5,b,436.69,4150.21,92.8,45.04,1.9407,2.0,1.0,否,否,—,43.53,13.12,25.72,5.58,244.78,244.77,13.17,left,幾何二分法,17,✅,0.4395,5.56,
628-20(2),628-20,R5,b,788.19,4150.21,92.8,45.04,1.9407,2.0,1.0,否,否,—,43.53,23.33,15.54,10.26,453.68,453.68,23.43,left,幾何二分法,17,✅,0.4244,10.22,
