暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-1(2),628-1,R6,,227.41,3976.3,85.85,44.59,1,2,0,否,否,—,0,0,0,3.8,180.35,180.34,3.99,left,幾何二分法,17,✅,0.207,3.79,
628-23(1),628-23,R6,,118.41,3976.3,85.85,44.59,1,2,0,否,否,—,0,0,0,1.99,93.9,93.89,5.98,left,幾何二分法,15,✅,0.2071,1.98,⚠️移出/第1調配順位
628-4(1),628-4,R6,,1154,3976.3,85.85,44.59,1,2,0,否,否,—,0,0,0,19.57,914.62,914.62,25.55,left,幾何二分法,13,✅,0.2074,19.51,
628-22(1),628-22,R6,,253.91,3976.3,85.85,44.59,1,2,0,否,否,—,0,0,0,4.36,201.13,201.13,29.91,left,幾何二分法,16,✅,0.2079,4.35,
628-21(1),628-21,R6,,351.16,3976.3,85.85,44.59,1,2,0,否,否,—,0,0,0,6.06,278.1,278.1,35.97,left,幾何二分法,17,✅,0.2081,6.04,
628-18(1),628-18,R6,,551.09,3976.3,85.85,44.59,1,2,1,是,是,右側,43.38,12.65,82.59,12.69,394.26,394.26,12.69,right,幾何二分法,17,✅,0.2846,12.65,
628-53(1),628-53,R6,,0.44,3976.3,85.85,44.59,1,2,1,否,否,—,43.38,12.66,0.03,0.01,0.34,0.33,12.7,right,幾何二分法,17,✅,0.25,0.01,⚠️移出/第1調配順位
628-38(1),628-38,R6,,205.6,3976.3,85.85,44.59,1,2,1,否,否,—,43.38,16.24,12.48,3.59,157.32,157.32,16.29,right,幾何二分法,16,✅,0.2348,3.58,
628-7(1),628-7,R6,,522.97,3976.3,85.85,44.59,1,2,1,否,否,—,43.38,25.54,4.88,9.33,411.46,411.45,25.62,right,幾何二分法,16,✅,0.2132,9.3,
628-20(1),628-20,R6,,570.15,3976.3,85.85,44.59,1,2,1,否,否,—,43.38,35.62,0,10.11,450.99,450.99,35.73,right,幾何二分法,16,✅,0.209,10.08,
R6-抵費地-1,—,R6,—,0,3976.3,85.85,44.59,0,0,0,—,—,—,0,0,0,0,798.71,0,0,抵費地,幾何剩餘,0,🟡,0,,
R6-抵費地-2,—,R6,—,0,3976.3,85.85,44.59,0,0,0,—,—,—,0,0,0,0,85.66,0,0,抵費地,幾何剩餘,0,🟡,0,,
628-18(2),628-18,R5,,381.09,4150.21,92.8,45.04,1,2,1,是,是,左側,43.53,8,61.09,8.03,272.31,272.31,8.03,left,幾何二分法,18,✅,0.2854,8,
628-53(2),628-53,R5,,2.78,4150.21,92.8,45.04,1,2,1,否,否,—,43.53,8.05,0.25,0.05,2.09,2.09,8.08,left,幾何二分法,16,✅,0.2482,0.05,⚠️移出/第1調配順位
628-45(1),628-45,R5,,92.71,4150.21,92.8,45.04,1,2,1,否,否,—,43.53,9.64,8.01,1.6,69.94,69.94,9.68,left,幾何二分法,17,✅,0.2456,1.59,⚠️移出/第1調配順位
628-7(2),628-7,R5,,436.69,4150.21,92.8,45.04,1,2,1,否,否,—,43.53,17.18,28.5,7.58,333.36,333.36,17.26,left,幾何二分法,16,✅,0.2366,7.55,
628-20(2),628-20,R5,,514.7,4150.21,92.8,45.04,1,2,1,否,否,—,43.53,26.29,2.13,9.15,406.16,406.17,26.41,left,幾何二分法,17,✅,0.2109,9.11,
628-30(1),628-30,R5,,26.99,4150.21,92.8,45.04,1,2,1,否,否,—,43.53,26.77,0,0.48,21.35,21.35,26.89,left,幾何二分法,18,✅,0.209,0.48,⚠️移出/第1調配順位
628-21(2),628-21,R5,,806.84,4150.21,92.8,45.04,1,2,1,否,否,—,43.53,40.91,0,14.2,638.45,638.45,41.09,left,幾何二分法,14,✅,0.2087,14.14,
628(3),628,R5,,236.68,4150.21,92.8,45.04,1,2,0,否,否,—,0,0,0,3.94,187.74,187.73,3.94,right,幾何二分法,16,✅,0.2068,3.92,
628-23(2),628-23,R5,,724.48,4150.21,92.8,45.04,1,2,0,否,否,—,0,0,0,12.15,574.47,574.47,16.09,right,幾何二分法,16,✅,0.2071,12.1,
628-22(2),628-22,R5,,890.41,4150.21,92.8,45.04,1,2,0,否,否,—,0,0,0,15.13,705.65,705.64,31.22,right,幾何二分法,15,✅,0.2075,15.07,
628-32(1),628-32,R5,,5.39,4150.21,92.8,45.04,1,2,0,否,否,—,0,0,0,0.09,4.27,4.27,31.31,right,幾何二分法,16,✅,0.2078,0.09,⚠️移出/第1調配順位
628-31(1),628-31,R5,,18.34,4150.21,92.8,45.04,1,2,0,否,否,—,0,0,0,0.31,14.53,14.53,31.62,right,幾何二分法,16,✅,0.2077,0.31,⚠️移出/第1調配順位
R5-抵費地,—,R5,—,0,4150.21,92.8,45.04,0,0,0,—,—,—,0,0,0,0,919.62,0,0,抵費地,幾何剩餘,0,🟡,0,,
