暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標,驗_A幾何,驗_A_W,驗_A_D,驗_A_命中角,驗_A_理由,驗_B藍影,驗_B_G,驗_B_藍影面積,驗_B_Δ,驗_B_臨正街,驗_B_臨屁股,驗_C面積,驗_C_G,驗_C_e,驗_C_街角範圍面積,驗_C_門檻,驗_C_Δ,驗_總判,驗_rejected,驗_鏈,驗_宗序,驗_不可判輸入
628-20(1),628-20,R6,b,570.15,3976.3,85.85,45.51,1.8386,2.0,1.0,否,否,—,43.38,24.42,3.29,7.68,339.92,339.91,24.5,right,幾何二分法,15,✅,0.4038,7.66,,合格,3.5,14.0,30.0,容納（命中角度 30.000000°）,不適用,339.91,—,—,—,—,不適用,339.91,0.0,299.134509,—,—,保留,False,right,其後,—
R6-抵費地-1,—,R6,—,0.0,3976.3,85.85,45.51,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1543.01,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R6-抵費地-2,—,R6,—,0.0,3976.3,85.85,45.51,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,85.71,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,,,,,,,,,,,,,,,,,,,,,,,
628-45(1)+,628-45,R5,b,634.4,4150.21,92.8,45.71,1.9407,2.0,1.0,是,是,左側,43.53,8.06,61.4,8.06,346.17,346.18,11.38,left,幾何二分法,17,✅,0.4543,8.03,,不適用,—,—,—,—,不適用,346.18,—,—,—,—,合格,346.18,0.0,299.730991,299.730991,46.449009,保留,False,left,街角第1宗,—
628-18(2),628-18,R5,b,381.09,4150.21,92.8,45.71,1.9407,2.0,1.0,否,否,—,43.53,16.02,33.05,6.35,206.72,206.72,17.74,left,幾何二分法,18,✅,0.4576,6.32,,合格,3.5,14.0,36.0,容納（命中角度 36.000000°）,合格,206.72,72.793071,133.926929,6.356177,3.010982,不適用,206.72,0.0,299.730991,—,—,保留,False,left,第2宗,—
628-7(2),628-7,R5,b,436.69,4150.21,92.8,45.71,1.9407,2.0,1.0,否,否,—,43.53,21.69,5.54,5.7,252.56,252.55,23.43,left,幾何二分法,16,✅,0.4217,5.68,,合格,3.5,14.0,34.5,容納（命中角度 34.500000°）,不適用,252.55,—,—,—,—,不適用,252.55,0.0,299.730991,—,—,保留,False,left,其後,—
628-31(1),628-31,R5,b,18.34,4150.21,92.8,45.71,1.9407,2.0,1.0,否,否,—,43.53,21.93,0.0,0.24,10.69,10.7,23.67,left,幾何二分法,16,✅,0.4166,0.24,⚠️移出/第1調配順位,不合格,3.5,14.0,,面積 < W×D（必要條件不成立）,不適用,10.7,—,—,—,—,不適用,10.7,0.0,299.730991,—,—,剔除,True,left,其後,—
628-32(1),628-32,R5,b,5.39,4150.21,92.8,45.71,1.9407,2.0,1.0,否,否,—,43.53,22.0,0.0,0.07,3.14,3.14,23.74,left,幾何二分法,16,✅,0.4174,0.07,⚠️移出/第1調配順位,不合格,3.5,14.0,,面積 < W×D（必要條件不成立）,不適用,3.14,—,—,—,—,不適用,3.14,0.0,299.730991,—,—,剔除,True,left,其後,—
628(3),628,R5,a,236.68,4150.21,92.8,45.71,1.6496,2.0,0.0,否,否,—,0.0,0.0,0.0,3.12,148.72,148.72,3.12,right,幾何二分法,17,✅,0.3716,3.11,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 364 個角度皆不可容納,不適用,148.72,—,—,—,—,不適用,148.72,0.0,—,—,—,剔除,True,right,其後,—
628-21(2)+,628-21,R5,b,2421.73,4150.21,92.8,45.71,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,30.18,1415.25,1415.25,33.3,right,幾何二分法,12,✅,0.4156,30.05,,合格,3.5,14.0,0.0,容納（命中角度 0.000000°）,不適用,1415.25,—,—,—,—,不適用,1415.25,0.0,—,—,—,保留,False,right,第2宗,—
