測項,違規列序,違規全文
v3·診斷0m,66,"[v3·診斷0m] ('R3', '右', '628-27(2)') 欄「門檻(㎡)」: baseline='152.82' got=226.91"
v3·診斷0m,67,"[v3·診斷0m] ('R3', '右', '628-27(2)') 欄「項三比(≤1)」: baseline='0.0783' got=0.0896"
v3·診斷0m,68,"[v3·診斷0m] ('R3', '右', '628-27(2)') 欄「截角邊(range)」: baseline='2.682' got=4.854"
v3·診斷0m,69,"[v3·診斷0m] ('R3', '右', '628-28(1)') 欄「真交集(㎡)」: baseline='2.29' got=13.83"
v3·診斷0m,70,"[v3·診斷0m] ('R3', '右', '628-28(1)') 欄「範圍面積(㎡)」: baseline='152.82' got=226.91"
v3·診斷0m,71,"[v3·診斷0m] ('R3', '右', '628-28(1)') 欄「門檻(㎡)」: baseline='152.82' got=226.91"
v3·診斷0m,72,"[v3·診斷0m] ('R3', '右', '628-28(1)') 欄「項三比(≤1)」: baseline='0.015' got=0.0609"
v3·診斷0m,73,"[v3·診斷0m] ('R3', '右', '628-28(1)') 欄「截角邊(range)」: baseline='2.682' got=4.854"
v3·診斷0m,74,"[v3·診斷0m] ('R1', '左', '628-37(1)') 欄「真交集(㎡)」: baseline='32.55' got=34.2"
v3·診斷0m,75,"[v3·診斷0m] ('R1', '左', '628-37(1)') 欄「範圍面積(㎡)」: baseline='109.79' got=114.76"
v3·診斷0m,76,"[v3·診斷0m] ('R1', '左', '628-37(1)') 欄「門檻(㎡)」: baseline='109.79' got=114.76"
v3·診斷0m,77,"[v3·診斷0m] ('R1', '左', '628-37(1)') 欄「截角邊(range)」: baseline='4.569' got=4.773"
v3·診斷0m,78,"[v3·診斷0m] ('R1', '左', '628-37(1)') 欄「臨截角」: baseline='4.569' got=4.773"
v3·診斷0m,79,"[v3·診斷0m] ('R1', '左', '628-36(1)') 欄「真交集(㎡)」: baseline='43.57' got=45.44"
v3·診斷0m,80,"[v3·診斷0m] ('R1', '左', '628-36(1)') 欄「範圍面積(㎡)」: baseline='109.79' got=114.76"
v3·診斷0m,81,"[v3·診斷0m] ('R1', '左', '628-36(1)') 欄「門檻(㎡)」: baseline='109.79' got=114.76"
