==========================================================================================================================
【K-9-4 BASELINE 臨接】只量不判·不設閘（K-6-A2 段二-1(a)）
判準：每宗必須配到 BASELINE；未達即停機報錯。**本檔不判、不擋、rc 恆 0**
算法源：app.k94_baseline_touch_by_parcel（軸＝app._baseline_normal_axis·與 N-19′ 同軸）
幾何來源：**cut_coords（截角後）**——影響評估見【C】段
==========================================================================================================================
容差 _EPS_TOUCH_FRONT ＝ 0.01 m（與 parcel_min_width_n14 前端臨接共用）

【A·0m】逐宗 BASELINE 臨接量測（母體 68 宗）
--------------------------------------------------------------------------------------------------------------------------
街廓    暫編地號               頂點       偏移min       偏移max     gap(離屁股)     far(最遠)    跨越   臨接
R2    628-35(1)           6     -0.0000     43.9945     0.000000     43.9945     否   ✅ 已配到
R2    628-39(1)           5     -0.0000     44.7211     0.000000     44.7211     否   ✅ 已配到
R2    628-40(1)           5     -0.0000     44.8062     0.000000     44.8062     否   ✅ 已配到
R2    628-41(1)           5     -0.0000     44.8525     0.000000     44.8525     否   ✅ 已配到
R2    628-42(1)           5      0.0000     44.8535     0.000000     44.8535     否   ✅ 已配到
R2    628-43(1)           5      0.0000     44.7407     0.000000     44.7407     否   ✅ 已配到
R2    628-49(1)           5     -0.0000     44.1043     0.000000     44.1043     否   ✅ 已配到
R2    628-50(1)           5      0.0000     44.1367     0.000000     44.1367     否   ✅ 已配到
R2    628-51(1)           5      0.0000     44.1689     0.000000     44.1689     否   ✅ 已配到
R2    628-52(1)           5     -0.0000     44.1847     0.000000     44.1847     否   ✅ 已配到
R2    R2-抵費地-1            5     -0.0000     44.5843     0.000000     44.5843     否   ✅ 已配到
R2    R2-抵費地-2            6     -0.0000     44.9198     0.000000     44.9198     否   ✅ 已配到
R3    628(4)              5    -43.7843      0.0000     0.000000     43.7843     否   ✅ 已配到
R3    628-27(2)           5    -44.7906     -0.0000     0.000000     44.7906     否   ✅ 已配到
R3    628-28(1)           5    -44.7835     -0.0000     0.000000     44.7835     否   ✅ 已配到
R3    628-29(1)           5    -44.7108      0.0000     0.000000     44.7108     否   ✅ 已配到
R3    628-30(3)           5    -44.6931      0.0000     0.000000     44.6931     否   ✅ 已配到
R3    628-31(3)           5    -44.5695     -0.0000     0.000000     44.5695     否   ✅ 已配到
R3    628-32(3)           5    -44.0893     -0.0000     0.000000     44.0893     否   ✅ 已配到
R3    628-34(2)           5    -43.8532      0.0000     0.000000     43.8532     否   ✅ 已配到
R3    628-42(2)           5    -44.8137      0.0000     0.000000     44.8137     否   ✅ 已配到
R3    628-45(2)           5    -44.7662      0.0000     0.000000     44.7662     否   ✅ 已配到
R3    628-46(1)           5    -43.9127      0.0000     0.000000     43.9127     否   ✅ 已配到
R3    628-47(1)           5    -43.8927      0.0000     0.000000     43.8927     否   ✅ 已配到
R3    628-48(1)           5    -43.9521      0.0000     0.000000     43.9521     否   ✅ 已配到
R3    628-49(2)           5    -43.9738     -0.0000     0.000000     43.9738     否   ✅ 已配到
R3    R3-抵費地-1            5    -44.4663     -0.0000     0.000000     44.4663     否   ✅ 已配到
R3    R3-抵費地-2            7    -44.8551      0.0000     0.000000     44.8551     否   ✅ 已配到
R4    628(1)              6     -0.0000     33.1244     0.000000     33.1244     否   ✅ 已配到
R4    628-1(1)            7     -0.0000     33.1030     0.000007     33.1030     否   ✅ 已配到
R4    R4-抵費地              6     -0.0000     33.1129     0.000008     33.1129     否   ✅ 已配到
R5    628(3)              5      0.0000     47.9040     0.000000     47.9040     否   ✅ 已配到
R5    628-18(2)           5      0.0000     44.2376     0.000000     44.2376     否   ✅ 已配到
R5    628-20(2)           5     -0.0000     44.8812     0.000000     44.8812     否   ✅ 已配到
R5    628-21(2)           5      0.0000     45.3932     0.000000     45.3932     否   ✅ 已配到
R5    628-22(2)           5     -0.0000     47.3332     0.000000     47.3332     否   ✅ 已配到
R5    628-23(2)           5      0.0000     47.7563     0.000000     47.7563     否   ✅ 已配到
R5    628-30(1)           5     -0.0000     44.8979     0.000000     44.8979     否   ✅ 已配到
R5    628-31(1)           5      0.0000     46.8049     0.000000     46.8049     否   ✅ 已配到
R5    628-32(1)           5     -0.0000     46.8081     0.000000     46.8081     否   ✅ 已配到
R5    628-45(1)           5      0.0000     44.2939     0.000000     44.2939     否   ✅ 已配到
R5    628-53(2)           5      0.0000     44.0071     0.000000     44.0071     否   ✅ 已配到
R5    628-7(2)            5     -0.0000     44.5624     0.000000     44.5624     否   ✅ 已配到
R5    R5-抵費地-1            5      0.0000     46.7940     0.000000     46.7940     否   ✅ 已配到
R5    R5-抵費地-2            6      0.0000     44.0054     0.000000     44.0054     否   ✅ 已配到
R6    628(2)              5    -47.6572     -0.0000     0.000007     47.6572     否   ✅ 已配到
R6    628-1(2)            5    -47.6494     -0.0000     0.000006     47.6494     否   ✅ 已配到
R6    628-18(1)           7    -43.7228     -0.0000     0.000000     43.7228     否   ✅ 已配到
R6    628-20(1)           5    -44.5873     -0.0000     0.000001     44.5873     否   ✅ 已配到
R6    628-21(1)           5    -46.5187     -0.0000     0.000005     46.5187     否   ✅ 已配到
R6    628-22(1)           5    -46.6826     -0.0000     0.000005     46.6826     否   ✅ 已配到
R6    628-23(1)           5    -47.4956     -0.0000     0.000006     47.4956     否   ✅ 已配到
R6    628-38(1)           5    -43.8580     -0.0000     0.000001     43.8580     否   ✅ 已配到
R6    628-4(1)            5    -47.4205     -0.0000     0.000005     47.4205     否   ✅ 已配到
R6    628-53(1)           5    -43.7231     -0.0000     0.000001     43.7231     否   ✅ 已配到
R6    628-7(1)            5    -44.2032     -0.0000     0.000001     44.2032     否   ✅ 已配到
R6    R6-抵費地-1            5    -46.2911     -0.0000     0.000002     46.2911     否   ✅ 已配到
R6    R6-抵費地-2            4    -47.6572     -0.0000     0.000007     47.6572     否   ✅ 已配到
--------------------------------------------------------------------------------------------------------------------------

【B】彙總（施工單 §二(b) 要求：最大偏移／離 BASELINE 最遠之宗／逾容差者）
--------------------------------------------------------------------------------------------------------------------------
  ── 情境 0m｜母體 68 宗 ──
     離 BASELINE 最遠之宗（gap 最大）＝ R4/R4-抵費地　gap ＝ 0.000008 m
     逾容差（gap > 0.01）之宗數 ＝ 0　⇒ **零違例**
     實質橫跨 BASELINE 兩側（off_min<−ε 且 off_max>+ε）之宗數 ＝ 0
     （其中『裸跨號但非實質』者 33 宗，較小側最大量級 9.322e-06 m ≪ 容差 0.01 ⇒ **浮點噪訊、非跨越**；此即判準不可用裸跨號之實證）
  ── 情境 3.5m｜母體 70 宗 ──
     離 BASELINE 最遠之宗（gap 最大）＝ R4/R4-抵費地　gap ＝ 0.000008 m
     逾容差（gap > 0.01）之宗數 ＝ 0　⇒ **零違例**
     實質橫跨 BASELINE 兩側（off_min<−ε 且 off_max>+ε）之宗數 ＝ 0
     （其中『裸跨號但非實質』者 34 宗，較小側最大量級 9.322e-06 m ≪ 容差 0.01 ⇒ **浮點噪訊、非跨越**；此即判準不可用裸跨號之實證）
--------------------------------------------------------------------------------------------------------------------------

【C】幾何來源評估：採 cut_coords（截角後）對本步結論有無影響
--------------------------------------------------------------------------------------------------------------------------
  問：截角把街角處削掉一塊；改用『截角前』幾何會不會改變 gap（＝最接近 BASELINE 之頂點）？
  量：截角三角形各頂點之 BASELINE 偏移 vs 該街廓諸宗之 gap。

  街廓    截角側                  截角頂點偏移(min~max)          該街廓宗地 gap 最大   判讀
  ----------------------------------------------------------------------------------------------------------------------
  R1    left                 29.505 ~ 33.164              0.000003   截角遠離屁股線
  R1    right                29.716 ~ 33.129              0.000003   截角遠離屁股線
  R2    left                 41.410 ~ 44.954              0.000000   截角遠離屁股線
  R3    right                41.420 ~ 44.898              0.000000   截角遠離屁股線
  R4    left                 29.430 ~ 33.126              0.000008   截角遠離屁股線
  R4    right                29.555 ~ 33.100              0.000008   截角遠離屁股線
  R5    left                 39.964 ~ 43.674              0.000000   截角遠離屁股線
  R6    right                39.962 ~ 43.532              0.000007   截角遠離屁股線
  ----------------------------------------------------------------------------------------------------------------------
  ⇒ 全區截角三角形**最接近 BASELINE** 者＝R4/left：29.430 m
  ⇒ 而諸宗之 gap 皆在 0.000008 m 以內
  ⇒ **截角區域與屁股線相距甚遠**：截角只削街角（前緣線側）之料，
     不可能移動『最接近 BASELINE 之頂點』⇒ **改用截角前幾何不改變本步結論**。
     （此為實測對比，非推論；若二者量級接近則須停機上呈。）

【D】自檢：本檔之軸 ≡ N-19′ 之軸（非同軸即不可能逐格相符）
--------------------------------------------------------------------------------------------------------------------------
  街廓                    本檔軸量 FRONT p1/p2           N-19′ d_front_p1/p2         最大差   同軸
  ----------------------------------------------------------------------------------------------------------------------
  R1               33.163923 / 33.128253         33.163923 / 33.128253    0.00e+00   ✅
  R2               44.954296 / 43.981458         44.954296 / 43.981458    0.00e+00   ✅
  R3               43.771921 / 44.898129         43.771921 / 44.898129    0.00e+00   ✅
  R4               33.125590 / 33.083668         33.125590 / 33.083668    0.00e+00   ✅
  R5               43.510383 / 47.903991         43.510383 / 47.903991    0.00e+00   ✅
  R6               47.657187 / 43.361474         47.657187 / 43.361474    0.00e+00   ✅
  ----------------------------------------------------------------------------------------------------------------------
  ⇒ 軸同源自檢：✅ 六街廓全等（差 < 1e-9）

【E】註記
  · 本檔**只量不判**：`touch` 欄係量測結果之呈現，**未據以 raise**。
  · 上閘屬段二-1(c)，**須待 KL 就【B】段過目後放行**。
  · 缺件（缺 BASELINE／頂點<3）仍 loud raise——缺件無從量測，與『違例』兩回事。
